algorithm,n_weapons,n_targets,value,time_sec,iterations,extra,category,instance_id,instance_file
GA_Modified,10,20,445.231880104295,5.0031333999941126,451,improvement_pct=3.6987,small_scarce,19,instance_019.json
MMR_Original,10,20,453.1430614829881,0.00028879998717457056,10,,small_scarce,20,instance_020.json
MMR_Modified,10,20,453.1430614829881,0.0012163000064902008,2,improvement_pct=0.0000,small_scarce,20,instance_020.json
GA_Original,10,20,450.62375215668857,5.001799999998184,1136,,small_scarce,20,instance_020.json
GA_Modified,10,20,453.1430614829881,5.02476959998603,586,improvement_pct=0.0000,small_scarce,20,instance_020.json
MMR_Original,30,20,95.52298270771023,0.0012534999987110496,30,,small_rich,1,instance_001.json
MMR_Modified,30,20,92.86584669559916,0.012430200004018843,4,improvement_pct=2.7817,small_rich,1,instance_001.json
GA_Original,30,20,116.05033302991947,5.000452500011306,401,,small_rich,1,instance_001.json
GA_Modified,30,20,95.52298270771023,5.003348600002937,312,improvement_pct=0.0000,small_rich,1,instance_001.json
MMR_Original,30,20,87.10115600138809,0.0012150999973528087,30,,small_rich,2,instance_002.json
MMR_Modified,30,20,87.10115600138809,0.008483100013108924,2,improvement_pct=0.0000,small_rich,2,instance_002.json
GA_Original,30,20,96.72491083508538,5.001258000003872,536,,small_rich,2,instance_002.json
GA_Modified,30,20,87.10115600138809,5.00325320000411,350,improvement_pct=0.0000,small_rich,2,instance_002.json
MMR_Original,30,20,80.82956562742194,0.0010978000063914806,30,,small_rich,3,instance_003.json
MMR_Modified,30,20,80.16619277936113,0.003650200000265613,3,improvement_pct=0.8207,small_rich,3,instance_003.json
GA_Original,30,20,102.2559910917615,5.003545999992639,448,,small_rich,3,instance_003.json
GA_Modified,30,20,79.38379468790022,5.022455999976955,272,improvement_pct=1.7887,small_rich,3,instance_003.json
MMR_Original,30,20,76.33006104313144,0.006145799998193979,30,,small_rich,4,instance_004.json
MMR_Modified,30,20,72.01919995493421,0.009622200013836846,4,improvement_pct=5.6477,small_rich,4,instance_004.json
GA_Original,30,20,85.55693783538437,5.000627500005066,531,,small_rich,4,instance_004.json
GA_Modified,30,20,76.33006104313144,5.008343800000148,322,improvement_pct=0.0000,small_rich,4,instance_004.json
MMR_Original,30,20,66.0084269145148,0.0015777999942656606,30,,small_rich,5,instance_005.json
MMR_Modified,30,20,64.09142971044494,0.005461599997943267,4,improvement_pct=2.9042,small_rich,5,instance_005.json
GA_Original,30,20,82.46606058163718,5.007588000007672,491,,small_rich,5,instance_005.json
GA_Modified,30,20,66.0084269145148,5.000215700012632,306,improvement_pct=0.0000,small_rich,5,instance_005.json
MMR_Original,30,20,82.01060802837301,0.002349100017454475,30,,small_rich,6,instance_006.json
MMR_Modified,30,20,75.50219058264194,0.005558700009714812,4,improvement_pct=7.9361,small_rich,6,instance_006.json
GA_Original,30,20,102.38630788858306,5.012635099992622,606,,small_rich,6,instance_006.json
GA_Modified,30,20,82.01060802837301,5.026794799981872,311,improvement_pct=0.0000,small_rich,6,instance_006.json
MMR_Original,30,20,58.868040742155884,0.004992600006517023,30,,small_rich,7,instance_007.json
MMR_Modified,30,20,57.15149546149289,0.00696500000776723,4,improvement_pct=2.9159,small_rich,7,instance_007.json
GA_Original,30,20,87.00575628549137,5.009715199994389,518,,small_rich,7,instance_007.json
GA_Modified,30,20,58.868040742155884,5.008151000016369,336,improvement_pct=0.0000,small_rich,7,instance_007.json
MMR_Original,30,20,72.11529912053862,0.0013300999999046326,30,,small_rich,8,instance_008.json
MMR_Modified,30,20,71.53201483382625,0.004620499996235594,4,improvement_pct=0.8088,small_rich,8,instance_008.json
GA_Original,30,20,90.73759373137082,5.003069600003073,582,,small_rich,8,instance_008.json
GA_Modified,30,20,72.11529912053862,5.016737999976613,280,improvement_pct=0.0000,small_rich,8,instance_008.json
MMR_Original,30,20,65.41340822257834,0.002635899989400059,30,,small_rich,9,instance_009.json
MMR_Modified,30,20,62.656843485600355,0.013959100004285574,4,improvement_pct=4.2141,small_rich,9,instance_009.json
GA_Original,30,20,74.41058753498164,5.0027072000084445,489,,small_rich,9,instance_009.json
GA_Modified,30,20,64.29160621860075,5.005567399988649,340,improvement_pct=1.7149,small_rich,9,instance_009.json
MMR_Original,30,20,73.21831434446342,0.00404770000022836,30,,small_rich,10,instance_010.json
MMR_Modified,30,20,73.17229440196228,0.01676309999311343,3,improvement_pct=0.0629,small_rich,10,instance_010.json
GA_Original,30,20,82.10985510067282,5.0020908000005875,592,,small_rich,10,instance_010.json
GA_Modified,30,20,70.68670610175785,5.009865800006082,373,improvement_pct=3.4576,small_rich,10,instance_010.json
MMR_Original,30,20,79.74726281710652,0.001282500015804544,30,,small_rich,11,instance_011.json
MMR_Modified,30,20,79.421656703161,0.006355299992719665,3,improvement_pct=0.4083,small_rich,11,instance_011.json
GA_Original,30,20,86.29051329287027,5.0088065000018105,654,,small_rich,11,instance_011.json
GA_Modified,30,20,79.74726281710652,5.001277399976971,472,improvement_pct=0.0000,small_rich,11,instance_011.json
MMR_Original,30,20,67.3258860001139,0.001195499993627891,30,,small_rich,12,instance_012.json
MMR_Modified,30,20,63.82646097061177,0.007691500009968877,4,improvement_pct=5.1977,small_rich,12,instance_012.json
GA_Original,30,20,66.29571951536255,5.002538999979151,823,,small_rich,12,instance_012.json
GA_Modified,30,20,67.3258860001139,5.010878100001719,530,improvement_pct=0.0000,small_rich,12,instance_012.json
MMR_Original,30,20,83.18088935348963,0.0011878999939654022,30,,small_rich,13,instance_013.json
MMR_Modified,30,20,78.86471695588737,0.0070247999974526465,5,improvement_pct=5.1889,small_rich,13,instance_013.json
GA_Original,30,20,95.06283029758451,5.003388800018001,754,,small_rich,13,instance_013.json
GA_Modified,30,20,81.41967019027202,5.000441500014858,486,improvement_pct=2.1173,small_rich,13,instance_013.json
MMR_Original,30,20,59.70002706566096,0.0011571999930310994,30,,small_rich,14,instance_014.json
MMR_Modified,30,20,56.775934366552924,0.009787799994228408,4,improvement_pct=4.8980,small_rich,14,instance_014.json
GA_Original,30,20,65.52224148036719,5.005574999988312,760,,small_rich,14,instance_014.json
GA_Modified,30,20,59.70002706566096,5.018890800012741,286,improvement_pct=0.0000,small_rich,14,instance_014.json
MMR_Original,30,20,78.41171688000836,0.0024529999936930835,30,,small_rich,15,instance_015.json
MMR_Modified,30,20,75.6933316646415,0.018741599982604384,4,improvement_pct=3.4668,small_rich,15,instance_015.json
GA_Original,30,20,98.84721484769254,5.006415999989258,497,,small_rich,15,instance_015.json
